Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,1.4189383,-0.51718885,175.71428571428572,-41.151785714285715,-41.151785714285715,1.0
20000,1.4189383,-0.5527009,175.71428571428572,-35.07142857142857,-35.07142857142857,1.0
30000,1.4214494,-1.0844733,175.70909090909092,-33.372727272727275,-33.372727272727275,1.0
40000,1.421564,-1.2307669,200.08333333333334,-22.666666666666668,-22.666666666666668,1.0
50000,1.4221708,-1.4375588,192.18,-23.12,-23.12,1.0
60000,1.4223017,-1.4110888,190.2,-32.42727272727273,-32.42727272727273,1.0
70000,1.4213257,-1.6907016,178.78181818181818,-32.445454545454545,-32.445454545454545,1.0
80000,1.4208456,-1.8344294,175.71428571428572,-32.99107142857143,-32.99107142857143,1.0
90000,1.4202348,-2.2115405,178.92727272727274,-34.82727272727273,-34.82727272727273,1.0
100000,1.4197019,-2.4620426,175.625,-30.649122807017545,-30.649122807017545,1.0
110000,1.4197651,-2.529227,175.7058823529412,-30.0,-30.0,1.0
120000,1.4198259,-2.6996264,198.73584905660377,-8.303571428571429,-8.303571428571429,1.0
130000,1.4198915,-2.6848147,192.18,-21.98076923076923,-21.98076923076923,1.0
140000,1.4200326,-2.793856,185.46428571428572,-9.172727272727272,-9.172727272727272,1.0
150000,1.4198624,-2.8452053,175.58928571428572,-28.535087719298247,-28.535087719298247,1.0
160000,1.4192868,-3.1756856,178.98181818181817,-8.4,-8.4,1.0
170000,1.4191086,-3.2197196,191.51923076923077,-10.23076923076923,-10.23076923076923,1.0
180000,1.4174635,-3.3852143,187.1346153846154,-14.73076923076923,-14.73076923076923,1.0
190000,1.4174634,-3.461975,175.71428571428572,1.3392857142857142,1.3392857142857142,1.0
200000,1.4165288,-3.5004256,175.69642857142858,-15.089285714285714,-15.089285714285714,1.0
210000,1.4165002,-3.5876946,175.58928571428572,-23.625,-23.625,1.0
220000,1.4155042,-3.681633,175.71428571428572,-1.625,-1.625,1.0
230000,1.4152819,-3.6173673,175.6290322580645,-23.866071428571427,-23.866071428571427,1.0
240000,1.4154115,-3.6621034,175.69642857142858,-5.810344827586207,-5.810344827586207,1.0
250000,1.415468,-3.469127,185.77358490566039,22.072727272727274,22.072727272727274,1.0
260000,1.4161899,-3.5853457,175.59649122807016,15.186440677966102,15.186440677966102,1.0
270000,1.4166983,-3.5050676,175.69642857142858,18.267857142857142,18.267857142857142,1.0
280000,1.4167666,-3.6647792,175.7017543859649,30.114035087719298,30.114035087719298,1.0
290000,1.4168047,-3.6958141,175.60714285714286,45.25892857142857,45.25892857142857,1.0
300000,1.4165179,-3.7668607,175.69642857142858,28.991071428571427,28.991071428571427,1.0
310000,1.4160475,-3.5934482,175.69642857142858,32.580357142857146,32.580357142857146,1.0
320000,1.4159526,-3.4879816,175.60714285714286,49.080357142857146,49.080357142857146,1.0
330000,1.4156531,-3.4189365,175.69642857142858,35.473214285714285,35.473214285714285,1.0
340000,1.4155791,-3.6038203,175.69642857142858,50.5625,50.5625,1.0
350000,1.4148992,-3.6237943,175.60714285714286,61.785714285714285,61.785714285714285,1.0
360000,1.4148741,-3.3582344,175.73015873015873,41.42857142857143,41.42857142857143,1.0
370000,1.4140232,-3.4325018,178.85185185185185,63.98245614035088,63.98245614035088,1.0
380000,1.414023,-3.253759,175.71428571428572,59.577586206896555,59.577586206896555,1.0
390000,1.4135121,-3.027125,175.7017543859649,65.96551724137932,65.96551724137932,1.0
400000,1.4134196,-2.953072,175.5818181818182,52.964285714285715,52.964285714285715,1.0
410000,1.412935,-3.1313856,182.01785714285714,77.3125,77.3125,1.0
420000,1.412813,-3.0729327,175.69642857142858,76.33035714285714,76.33035714285714,1.0
430000,1.4121851,-2.9352539,175.60714285714286,84.27678571428571,84.27678571428571,1.0
440000,1.4118652,-3.2162778,175.69642857142858,91.79464285714286,91.79464285714286,1.0
450000,1.4107436,-2.867472,178.9090909090909,109.64545454545454,109.64545454545454,1.0
460000,1.4097353,-2.741254,175.60714285714286,94.05357142857143,94.05357142857143,1.0
470000,1.4094121,-2.5419433,175.69642857142858,107.58035714285714,107.58035714285714,1.0
480000,1.4089185,-2.543257,178.9090909090909,92.60909090909091,92.60909090909091,1.0
490000,1.4087346,-2.4721103,175.60714285714286,97.66071428571429,97.66071428571429,1.0
500000,1.4081937,-2.7190516,175.7258064516129,89.76315789473684,89.76315789473684,1.0
510000,1.4080467,-2.520577,175.58928571428572,125.62068965517241,125.62068965517241,1.0
520000,1.4071478,-2.3104563,175.7017543859649,118.98305084745763,118.98305084745763,1.0
530000,1.4071146,-2.4297948,175.71428571428572,102.85964912280701,102.85964912280701,1.0
540000,1.4059774,-2.416649,175.59649122807016,86.33928571428571,86.33928571428571,1.0
550000,1.4059774,-2.4046667,175.69642857142858,108.56140350877193,108.56140350877193,1.0
560000,1.4049808,-2.1751928,175.69642857142858,133.17857142857142,133.17857142857142,1.0
570000,1.4049371,-2.0496168,175.60714285714286,138.91071428571428,138.91071428571428,1.0
580000,1.4040991,-1.8659291,175.69642857142858,137.6875,137.6875,1.0
590000,1.4038938,-1.7818413,175.69642857142858,145.1875,145.1875,1.0
600000,1.4029506,-2.0368712,175.60714285714286,115.08035714285714,115.08035714285714,1.0
610000,1.4024976,-1.6206337,175.69642857142858,139.03571428571428,139.03571428571428,1.0
620000,1.4017764,-1.3240645,175.69642857142858,167.19642857142858,167.19642857142858,1.0
630000,1.4011467,-1.049013,175.6451612903226,184.52631578947367,184.52631578947367,1.0
640000,1.4008718,-1.1794081,175.69642857142858,185.27586206896552,185.27586206896552,1.0
650000,1.4005146,-0.39596197,175.58928571428572,196.47413793103448,196.47413793103448,1.0
660000,1.4004159,-0.6413238,175.7017543859649,176.8793103448276,176.8793103448276,1.0
670000,1.4001681,-0.2948758,175.7017543859649,172.41071428571428,172.41071428571428,1.0
680000,1.4000303,-0.7310952,175.60714285714286,144.0701754385965,144.0701754385965,1.0
690000,1.3995817,0.0037742527,175.69642857142858,167.41964285714286,167.41964285714286,1.0
700000,1.3994824,-0.26267666,175.69642857142858,154.16964285714286,154.16964285714286,1.0
710000,1.3984717,-0.086754546,175.60714285714286,180.07142857142858,180.07142857142858,1.0
720000,1.3984717,-0.11058874,175.69642857142858,174.84821428571428,174.84821428571428,1.0
730000,1.3970966,0.75504816,175.69642857142858,188.67857142857142,188.67857142857142,1.0
740000,1.3970338,0.6004671,175.60714285714286,189.08928571428572,189.08928571428572,1.0
750000,1.3958867,0.87620133,175.69642857142858,202.51785714285714,202.51785714285714,1.0
760000,1.3956263,0.7362562,178.52459016393442,191.29090909090908,191.29090909090908,1.0
770000,1.3952181,0.60129154,175.71428571428572,175.51724137931035,175.51724137931035,1.0
780000,1.3950574,0.11529322,175.69642857142858,176.75862068965517,176.75862068965517,1.0
790000,1.3942988,1.1916054,175.59649122807016,193.33050847457628,193.33050847457628,1.0
800000,1.3937467,1.2500846,178.9090909090909,198.42727272727274,198.42727272727274,1.0
810000,1.3930959,1.2983571,175.7017543859649,189.46491228070175,189.46491228070175,1.0
820000,1.3924367,2.9617984,175.60714285714286,227.25,227.25,1.0
830000,1.3918734,1.789542,175.69642857142858,188.125,188.125,1.0
840000,1.390979,1.9162376,175.69642857142858,186.91071428571428,186.91071428571428,1.0
850000,1.3907754,3.3149488,175.60714285714286,218.0625,218.0625,1.0
860000,1.3901521,3.0556455,175.69642857142858,205.26785714285714,205.26785714285714,1.0
870000,1.3900024,2.7842708,175.69642857142858,192.51785714285714,192.51785714285714,1.0
880000,1.3886012,3.9674003,175.60714285714286,218.05357142857142,218.05357142857142,1.0
890000,1.3885573,2.9548733,178.6290322580645,196.45454545454547,196.45454545454547,1.0
