Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,1.4189383,56.59770114942529,5.503243,15.302889838556334,15.302889838556334,1.0
20000,1.4189383,57.88823529411765,5.5135775,16.01764675939784,16.01764675939784,1.0
30000,1.4194299,61.39375,5.1983285,22.87999918758869,22.87999918758869,1.0
40000,1.4194733,60.76543209876543,5.2877893,24.449381924567767,24.449381924567767,1.0
50000,1.4207934,61.38509316770186,5.2133436,35.51499939188361,35.51499939188361,1.0
60000,1.4209869,63.90845070422535,5.0582395,40.86363578738866,40.86363578738866,1.0
70000,1.4205991,67.52866242038216,5.521101,34.40445831550914,34.40445831550914,1.0
80000,1.4204947,63.31612903225806,5.5768757,41.83419292896025,41.83419292896025,1.0
90000,1.4201164,63.23717948717949,5.5090723,39.985897383342184,39.985897383342184,1.0
100000,1.4200193,63.86842105263158,5.8235846,49.96209123321608,49.96209123321608,1.0
110000,1.4187777,78.59130434782608,5.530947,69.43912949575031,69.43912949575031,1.0
120000,1.4182898,76.94326241134752,5.7638044,64.83785610986608,64.83785610986608,1.0
130000,1.418349,68.27586206896552,5.814061,66.30694351909268,66.30694351909268,1.0
140000,1.4183909,78.63709677419355,5.39422,68.01031697127554,68.01031697127554,1.0
150000,1.4184136,71.9927536231884,6.465554,72.29562080743975,72.29562080743975,1.0
160000,1.4184234,80.5603448275862,6.0842648,103.11465339497502,103.11465339497502,1.0
170000,1.4178376,74.88489208633094,6.530904,78.1647477214285,78.1647477214285,1.0
180000,1.4173547,76.3828125,7.1037116,101.68046742735896,101.68046742735896,1.0
190000,1.4163991,92.37037037037037,6.5794697,121.57314567060934,121.57314567060934,1.0
200000,1.4154418,82.96521739130435,7.4573255,116.09825966254525,116.09825966254525,1.0
210000,1.4155134,84.5702479338843,7.287774,103.70082474752398,103.70082474752398,1.0
220000,1.4156088,80.41463414634147,7.155594,115.38278497731099,115.38278497731099,1.0
230000,1.4154196,84.05982905982906,6.960769,115.25677815881573,115.25677815881573,1.0
240000,1.415146,84.59482758620689,7.5853577,115.46465390304039,115.46465390304039,1.0
250000,1.4149652,85.24786324786325,7.343287,126.78888818303234,126.78888818303234,1.0
260000,1.4146101,86.0695652173913,7.6318936,133.33043458073035,133.33043458073035,1.0
270000,1.4147886,82.85454545454546,7.151077,127.21272718039425,127.21272718039425,1.0
280000,1.4152604,90.38135593220339,7.691469,136.3347458682828,136.3347458682828,1.0
